Description,Country,Weather,Time of Day,Season,Activity,Mood,student_id
Iconic cityscape of NYC,United States of America,Sunny,Afternoon,Summer,Sightseeing,Excitement,1220439
Natural landscape,Ireland,Cloudy,Afternoon,Fall,Hiking,Adventure,1220439
Classic view of the Eiffel Tower,France,Sunny,Afternoon,Summer,Sightseeing,Romance,1220439
Iconic skyline with skyscrapers,United Arab Emirates,Sunny,Evening,Not Clear,Relaxing,Happiness,1220439
Holy site,Saudi Arabia,Not Clear,Evening,Not Clear,Relaxing,Nostalgia,1220439
classic cultural and natural view,Japan,Sunny,Morning,Spring,Sightseeing,Happiness,1220439
Historic castle of Edinburgh,Scotland,Cloudy,Evening,Fall,Sightseeing,Curiosity,1220439
Northern lights,Iceland,Snowy,Evening,Winter,Relaxing,Curiosity,1220439
Holy site,Palestine,Snowy,Afternoon,Winter,Sightseeing,Nostalgia,1220439
Famous ancient landmarks,England,Cloudy,Morning,Spring,Hiking,Curiosity,1220439
