Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
Walking through the endless vermilion torii gates of Fushimi Inari Shrine.,Japan,Sunny,Morning,Spring,Hiking,Curiosity,1220280
Iconic blue-domed church overlooking the caldera and sea.,Greece,Sunny,Afternoon,Summer,Sightseeing,Romance,1220280
Aerial view of the ancient Incan citadel of Machu Picchu surrounded by mountains.,Peru,Cloudy,Morning,Spring,Hiking,Adventure,1220280
Moraine Lake with turquoise waters reflecting the snow-capped Valley of the Ten Peaks.,Canada,Sunny,Afternoon,Summer,Sightseeing,Happiness,1220280
The Treasury (Al-Khazneh) carved into the red sandstone cliff face.,Jordan,Sunny,Afternoon,Fall,Sightseeing,Curiosity,1220280
Bright neon lights and bustling crowds in Times Square at night.,USA,Not Clear,Evening,Winter,Sightseeing,Excitement,1220280
Aerial view of a pristine white sand beach and turquoise lagoon.,Maldives,Sunny,Afternoon,Spring,Relaxing,Happiness,1220280
The Taj Mahal mausoleum captured at sunrise with dramatic clouds.,India,Cloudy,Morning,Not Clear,Sightseeing,Nostalgia,1220280
"Paris at sunset with the Eiffel Tower illuminated against a golden sky. The City of Light embodies romance, culture, and timeless elegance.",France,Sunny,Evening,Spring,Sightseeing,Romance,1220280
The Aurora Borealis (Northern Lights) illuminating the night sky over a mountain.,Iceland,Not Clear,Evening,Winter,Sightseeing,Excitement,1220280
