Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"Beautiful nature with magical waterfall, it makes me feel happy hiking on these mountains, especielly at sunset",Iceland,Cloudy,Afternoon,Fall,Hiking,Happiness,1221899
"I love how relaxing and beeautiful the Maldives beaches, they have good resorts with beautiful islands, want to visit it especielly in summer",Maldives,Sunny,Morning,Spring,Relaxing,Excitement,1221899
"Modern city with a lot of Excitement, The glowing Petronas Towers make the city look alive, especially at Evening.",Malaysia,Not Clear,Evening,Summer,Sightseeing,Excitement,1221899
This scene feels very calming; always wants to hike there and see the beautiful nature.,Japan,Cloudy,Morning,Spring,Hiking,Romance,1221899
"The ancient ruins surrounded by mountains give this place a mysterious and historic atmosphere, love to see the ruins and history of this ancient city",Peru,Cloudy,Afternoon,Summer,Hiking,Adventure,1221899
"The turquoise lake and snowy peaks look unreal, like a perfect postcard view of nature.",Canada,Cloudy,Afternoon,Summer,Sightseeing,Happiness,1221899
"These wooden houses in the Alps look warm and cozy, with the mountains adding a peaceful vibe, I want to visit it to see these magical views and feelings",Switzerland,Cloudy,Afternoon,Summer,Hiking,Nostalgia,1221899
"Big Ben always feels iconic to me, and the cloudy sky gives the city its classic British mood.",United Kingdom,Cloudy, Afternoon,Winter,Hiking,Curiosity,1221899
"The sunset colors, the city below and hiking to ride teleferik make this scene feel exciting and full of adventure.",Brazil,Cloudy,Afternoon,Winter,Hiking,Adventure,1221899
"This foggy forest road gives me a calm, mysterious feeling, like a quiet place to think and relaxing, I always love the feeling and sight of rain in nature especiely forests",Serbia,Rainy,Afternoon,Summer,Relaxing,Melancholy,1221899
