Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"Santiago Bernabeu Stadium, home of Real Madrid in Madrid, full of fans watching a football match.",Spain,Sunny,Evening,Fall,Watching a football match,Excitement,1220641
The Eiffel Tower in Paris with people walking and relaxing in the park around it.,France,Sunny,Afternoon,Spring,Sightseeing,Romance,1220641
"The Dome of the Rock with its golden dome shining over the old city of Jerusalem, a famous religious and historical site.",Jerusalem,Sunny,Afternoon,Spring,Sightseeing,Curiosity,1220641
"Green rice terraces and tropical trees in Indonesia, with soft sunlight over the hills.",Indonesia,Sunny,Morning,Summer,Hiking and exploring nature,Happiness,1220641
Mountain scenery in Georgia with high peaks and a small village or church in the valley below.,Georgia,Snowy,Morning,Winter,Hiking in the mountains,Adventure,1220641
Dubai skyline with tall modern towers like Burj Khalifa and bright city lights in the distance.,United Arab Emirates,Not Clear,Evening,Winter,City sightseeing,Happiness,1220641
"A calm lake and high mountains in Canada, with forests and clear reflections in the water.",Canada,Sunny,Afternoon,Fall,Hiking and enjoying nature,Adventure,1220641
Snowy Swiss Alps with high peaks and maybe a ski resort or village below.,Switzerland,Sunny,Morning,Winter,Skiing or mountain hiking,Excitement,1220641
"Sand dunes and desert landscape in Algeria, with warm light over the golden sand.",Algeria,Sunny,Afternoon,Summer,Exploring the desert,Curiosity,1220641
"A colorful street or old town in Morocco, with traditional buildings and people walking or shopping.",Morocco,Sunny,Afternoon,Spring,Sightseeing and shopping,Happiness,1220641
