Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"Camp Nou stadium in Barcelona, a worldâ€‘famous football arena known for its electric atmosphere. I chose it because it represents passion, sports, and a dream visit for any football fan.",Spain,Sunny,Afternoon,Summer,Sightseeing,Excitement,1221697
"Times Square in New York City, full of bright lights, huge billboards, and nonstop energy. I chose it because it's one of the most iconic places in the world.",USA,Clear,Night,fall,Walking / City Exploring,Curiosity,1221697
"A scenic view of the Lofoten Islands with dramatic mountains, colorful fishing villages, and pure Arctic beauty. I chose it because it feels peaceful and unreal.",Norway,Sunny,Afternoon,Summer,Sightseeing,Adventure,1221697
Moraine Lake with its turquoise waters surrounded by high peaks in the Canadian Rockies. I chose it because its one of the most breathtaking lakes on Earth.,Canada,Clear,Evening,Summer,Relaxing / Viewing Nature,Happiness,1221697
"The Lapland region, known for snowy forests, reindeer, and magical winter landscapes. I chose it because its perfect for northern lights and cozy winter vibes.",Finland,Clear,Night,Winter,Snow Activities / Exploring,Nostalgia,1221697
"Hitachi Seaside Park covered with flowers, especially the blue nemophila fields. I chose it because it looks dreamy and peaceful.",Japan,Sunny,Afternoon,fall,Walking / Photography,Romance,1221697
Mendenhall Ice Caves with their glowing blue ice tunnels. I chose it because the frozen crystal-like caves look unreal and adventurous.,USA,Clear,Night,Winter,Hiking / Exploring,Adventure,1221697
"Dome of the Rock in Jerusalem, an iconic golden-domed shrine located in Al-Aqsa Mosque compound. I chose it because it represents deep spiritual meaning and timeless Islamic architecture.",Palestine,Sunny,Afternoon,Summer,Sightseeing,Nostalgia,1221697
"Al-Masjid Al-Haram in Makkah, the holiest mosque in Islam surrounding the Kaaba. I chose it because it’s a dream spiritual destination for every Muslim.",Saudi Arabia,Sunny,Afternoon,Summer,Worship,Peace,1221697
"Lake Thun surrounded by mountains and peaceful Swiss villages. I chose it because the scenery is calm, fresh, and beautiful.",Switzerland,Sunny,Afternoon,fall,Relaxing,Peace,1221697
