Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"Whitewashed buildings and blue accents in Oia, Santorini / I've always wanted to see the iconic Cycladic architecture and bright Aegean colors in person.",Greece,Sunny,Afternoon,Summer,Sightseeing,Happiness,1220871
Wide view of the Eiffel Tower under a clear blue sky with Paris greenery and cityscape / chosen because it's an iconic landmark I want to see in person.,France,Sunny,Afternoon,Summer,Sightseeing,Romance,1220871
"Swiss countryside with a farmhouse and small chapel on a green meadow of yellow wildflowers, with forests and mountains/ chosen for its peaceful, scenic vibe.",Switzerland,Cloudy,Morning,Summer,Relaxing,Happiness,1220871
Red multi-tier pagoda overlooking a city with snow-capped Mount Fuji in the background/ chosen for the mix of Japanese culture and epic nature.,Japan,Cloudy,Afternoon,Winter,Sightseeing,Adventure,1220871
"New York City skyline at night/ I'd love to experience the energy of the city, lights, and famous landmarks.",United States,Not Clear,Evening,Not Clear,Sightseeing,Excitement,1220871
"Wide daytime view of the Dome of the Rock with its golden dome and intricate blue tilework under a deep blue sky/ chosen because it represents my heritage and makes me feel nostalgic, especially since we are not allowed to go there.",Palestine,Sunny,Afternoon,Not Clear,Sightseeing,Nostalgia,1220871
Petra's Treasury carved into sandstone/ I'd love to explore the ancient city and its dramatic rock-cut architecture.,Jordan,Sunny,Afternoon,Summer,Sightseeing,Curiosity,1220871
Machu Picchu at sunrise with misty mountains/ this place feels legendary and I want to hike and see the ruins above the clouds.,Peru,Cloudy,Morning,Not Clear,Hiking,Adventure,1220871
"A sunny coastal marina packed with boats and yachts beside a green cliffside town, overlooking a calm deep-blue sea/ chosen because I'd love to explore a lively Mediterranean-style harbor and relax by the water.",Turkey,Sunny,Afternoon,Summer,Sightseeing,Happiness,1220871
"Saint Basil's Cathedral in Moscow at night during snowfall, glowing under city lights/ chosen because the winter atmosphere looks magical and I want to experience Red Square in the snow.",Russia,Snowy,Evening,Winter,Sightseeing,Excitement,1220871
