Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"Eiffel Tower, symbolizing romance and French culture",France,Sunny,Afternoon,Spring,Sightseeing,Romance,1220204
"Petra, ancient city carved into red sandstone cliffs",Jordan,Sunny,Afternoon,Summer,Exploring,Curiosity,1220204
"Colosseum, Ancient Roman amphitheater",Italy,Sunny,Morning,Spring,Sightseeing,Curiosity,1220204
"Neuschwanstein Castle, Fairy-tale castle in the Alps",Germany,Snowy,Morning,Winter,Photography,Nostalgia,1220204
"Prague Castle & Charles Bridge, glowing at night.",Czech Republic,Cloudy,Evening,Fall,Walking Tour,Curiosity,1220204
"Santiago Bernabéu Stadium, Iconic stadium of Real Madrid",Spain,Cloudy,Afternoon,Spring,Stadium Tour,Excitement,1220204
"Taj Mahal, symbol of love and artistry.",India,Sunny,Morning,Fall,Sightseeing,Romance,1220204
"Grand Canyon, nature’s grandeur on display",USA,Sunny,Afternoon,Summer,Hiking,Adventure,1220204
"Hallstatt, a picturesque winter wonderland.",Austria,Snowy,Morning,Winter,Photography,Nostalgia,1220204
"Venice, historic architecture glowing in sunset light.",Italy,Sunny,Evening,Spring,Boat Riding,Romance,1220204
