Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"This image shows the Cathedral of Santiago de Compostela in Spain, a historic pilgrimage site known for its grand towers and detailed stone architecture. I chose this place because it represents culture, history, and a destination I would love to experience in person.",Spain,Cloudy,Morning,Spring,Sightseeing,Curiosity,1220194
"This image shows the city of Matera in Italy, with its stone buildings built into the cliffs. I chose this place because its unique landscape and old-world charm make it feel like stepping into history and adventure.",Italy,Cloudy,Evening,Not Clear,None,Happiness,1220194
"This image shows the Tyrol region in the Austrian Alps, known not only for skiing but also for its small towns, wellness retreats, and rich culture. The area blends mountain scenery with historic sites like Innsbruck’s Golden Roof. I chose this place because it offers both natural beauty and deep cultural history.",Austria,Snowy,Afternoon,Winter,Sightseeing,Adventure,1220194
"This image shows the ancient Theater of Epidaurus in Greece, a remarkably well-preserved amphitheater built around 400 BCE. The view from the top highlights its perfect circular design and surrounding landscape. I chose this place because of its rich history and the unique experience of visiting a UNESCO World Heritage Site that still hosts performances today.",Greece,Sunny,Afternoon,Summer,Hiking,Adventure,1220194
"This image shows Osaka Castle in Japan, surrounded by its wide moat and tour boats. The castle’s five-story structure and huge stone walls highlight its importance in Japan’s history and unification. I chose this place because of its beautiful architecture and the chance to explore one of Japan’s most iconic landmarks.",Japan,Sunny,Afternoon,Spring,Sightseeing,Curiosity,1220194
"This image shows the Alpine town of Zermatt in Switzerland, with the Matterhorn rising sharply behind the traditional wooden chalets. I chose this place because it combines stunning mountain scenery with a peaceful, car-free village atmosphere, making it one of the most iconic spots in the Swiss Alps.",Switzerland,Snowy,Afternoon,Not Clear,None,Happiness,1220194
"This image shows Niagara Falls, one of the most famous natural landmarks in the world. The powerful waterfalls sit on the border between Canada and the United States, with Horseshoe Falls being the largest and most iconic. I chose this place because of its incredible natural beauty and the unforgettable sight of the water cascading on such a massive scale.",Canada,Sunny,Afternoon,Summer,Sightseeing,Excitement,1220194
"This image shows the Maldives with its white sandy beaches, turquoise water, and overwater villas stretching into the ocean. I chose this place because of its peaceful tropical beauty and the chance to enjoy clear seas, relaxing resorts, and unforgettable island scenery.",Maldives,Sunny,Morning,Summer,Relaxing,Happiness,1220194
"This image shows the Eiffel Tower rising above the city of Paris, one of the most iconic and romantic destinations in the world. I chose this place because of its mix of history, art, food, and culture, all centered around one of the most recognizable landmarks on Earth.",France,Not Clear,Evening,Spring,Sightseeing,Romance,1220194
This image shows the famous Christ the Redeemer statue overlooking Rio de Janeiro from the top of Corcovado Mountain. The massive Art Deco monument stands with open arms above the city and ocean. I chose this place because it is one of the world’s most iconic landmarks and offers breathtaking panoramic views of Brazil.,Brazil,Sunny,Afternoon,Summer,Sightseeing,Nostalgia,1220194
