Description,Country,Weather,Time of day,Season,Activity,Mood/Emotion,student_id
A stunning island with white houses and blue domes overlooking the Aegean Sea. I chose it because it's one of the most photographed and romantic spots in the world.,Greece,Cloudy,Afternoon,Fall,Relaxing,Happiness,1221123
"A futuristic city full of neon lights, modern tech, and unique culture. I chose it because it perfectly blends tradition and innovation.",Japan,Not Clear,Evening,Summer,Sightseeing,Happiness,1221123
"Lush green rice terraces, beaches, and spiritual temples. I chose it because it’s a top destination for relaxation and nature lovers. ",Bali – Indonesia.,Cloudy,Afternoon,Spring,Relaxing,Adventure,1221123
"The Eiffel Tower and elegant streets make it one of the most iconic cities. I chose it because it’s a classic dream destination for art, romance, and culture. ",France,Sunny,Evening,Fall,Sightseeing,Romance,1221123
" Skyscrapers, Times Square, and endless entertainment. I  chose it because it’s the world’s most energetic and diverse city.",United States of America,Not Clear,Evening,Summer,Relaxing,Happiness,1221123
A luxurious city with futuristic architecture and desert  adventures. I chose it because it represents modern ambition and innovation.,United Arab Emirates,Sunny,Morning,Summer,Sightseeing,Romance,1221123
Crystal-clear turquoise water with beautiful overwater resorts. I chose it because it’s one of the most peaceful and beautiful tropical places on earth. ,Maldives,Sunny,Morning,Summer,Relaxing,Romance,1221123
"Traditional temples, bamboo forests, and colorful seasonal scenery. I chose it because it preserves ancient Japanese beauty and calmness.",Japan,Cloudy,Evening,Spring,Hiking,Adventure,1221123
 Majestic snow-covered mountains perfect for skiing and sightseeing. I chose it because the landscapes are some of the most breathtaking on the planet. ,Switzerland,Sunny,Morning,Summer,Hiking,Adventure,1221123
"A vibrant city where East meets West, rich with history and stunning architecture. I chose it because it’s culturally unique and visually incredible.",Türkiye,Cloudy,Afternoon,Summer,Romance,Sightseeing,1221123
