Description,Country,Weather,Time of Day,Season,Activity,Mood,student_id
A calm green park with trees and flowing water. I think It's giving othmans vibes,Bosnia and Herzegovina,Sunny,Afternoon,Spring,Sightseeing,Happiness,1220148
A quiet canal surrounded by classical buildings.giving dostoevsky raskolnikov vibes.,Russia,Cloudy,Afternoon,Fall,Sightseeing,Nostalgia,1220148
A warm Malibu sunset over the coast. A real place to relif.,USA,Sunny,Evening,Summer,Relaxing,Romance,1220148
Stamford Bridge stadium lit up at dusk. What a chelsea fans ever dreamed.,United Kingdom,Cloudy,Evening,Fall,Sightseeing,Excitement,1220148
The Cologne Cathedral with dramatic sky. I really like its architecture.,Germany,Cloudy,Afternoon,Spring,Sightseeing,Curiosity,1220148
A mystical lake with submerged trees. Kinda odd.,Kazakhstan,Sunny,Morning,Summer,Hiking,Adventure,1220148
A turquoise mountain lake with snowy peaks. Feels like alone with the nature.,Italy,Sunny,Afternoon,Summer,Sightseeing,Excitement,1220148
A calm lake surrounded by mountains and pine forests. I chose it because it looks peaceful and scenic.,Switzerland,Sunny,Afternoon,Spring,Relaxing,Happiness,1220148
A path covered with bright red torii gates. I chose it because it feels cultural and iconic.,Japan,Sunny,Morning,Spring,Sightseeing,Curiosity,1220148
Aerial view of Niagara Falls with mist rising and a boat below. I chose it because it's a powerful natural wonder.,Canada,Sunny,Afternoon,Summer,Sightseeing,Excitement,1220148
