Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"""The Al-Aqsa Mosque complex in Jerusalem, a sacred historical and spiritual site. I chose this place because it represents deep cultural and religious significance, and it inspires a strong sense of connection and identity.",Palestine,Sunny,Afternoon,Spring,Sightseeing,Nostalgia,1221332
"This image shows Masjid Al-Haram in Mecca with the Kaaba at its center, surrounded by worshippers performing their religious rituals. I chose this place because it is the holiest site in Islam and visiting it for worship is a lifelong dream for me",Saudi Arabia,Not Clear,Evening,Not Clear,Worship,Spiritual Awe,1221332
"A detailed view of the Alhambra Palace in Granada, Spain, showcasing its intricate Moorish architecture; I chose this place for its stunning historical and cultural beauty.",Spain,Sunny,Afternoon,Spring,Sightseeing,Curiosity,1221332
"A vibrant cityscape of Istanbul, capturing its historic charm and cultural energy; I chose this place for its rich history, diverse culture, and beauty bridging continents.",Turkey,Sunny,Afternoon,Spring,Sightseeing,Curiosity,1221332
"A panoramic view of London’s skyline with iconic buildings; I chose this place for its rich history, vibrant culture, and blend of historic and modern architecture.",United Kingdom,Sunny,Afternoon,Summer,Sightseeing,Curiosity,1221332
"A scenic view of Santorini’s cliffside town and volcanic landscape overlooking the sea; I chose this place for its breathtaking beauty, Mediterranean charm, and serene island atmosphere.",Greece,Sunny,Afternoon,Summer,Sightseeing,Romance,1221332
"A warm sunset over Paris with the Eiffel Tower, orange autumn trees, and a calm river creating a romantic, peaceful scene.",France,Sunny,Evening,Fall,Sightseeing,Curiosity,1221332
"A bright, colorful Tokyo street glowing with neon signs as people walk through the lively nightlife.",Japan,Not Clear,Evening,Not Clear,Walking,Excitement,1221332
A bright coastal view of Alexandria with the historic Citadel of Qaitbay surrounded by blue water and boats.,Egypt,Sunny,Afternoon,Summer,Sightseeing,Curiosity,1221332
"An aerial view of Acre (Akka), showing its historic old city, ancient sea walls, and the Mediterranean coastline. I chose this place because it is a beautiful and culturally rich Palestinian city.",Palestine,Sunny,Evening,Summer,Sightseeing,Nostalgia,1221332
