Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
Snow-capped peaks of Mount Everest and the Himalayas under a cloudy sky.,Nepal,Cloudy,Morning,Winter,Hiking,Adventure,1221350
The twin spires of Cologne Cathedral rising above autumn trees.,Germany,Cloudy,Afternoon,Fall,Sightseeing,Nostalgia,1221350
Sunset casting purple and orange hues over the Grand Canyon.,USA,Sunny,Evening,Summer,Sightseeing,Adventure,1221350
Machu Picchu ruins nestled in green mountains with mist rolling in.,Peru,Cloudy,Morning,Summer,Hiking,Curiosity,1221350
The Eiffel Tower viewed from the Seine river at dusk with pink sky.,France,Cloudy,Evening,Spring,Sightseeing,Romance,1221350
Vibrant purple and green Northern Lights over a snowy landscape.,Iceland,Not Clear,Evening,Winter,Sightseeing,Excitement,1221350
The Empire State Building and NYC skyline bathed in golden sunset light.,USA,Sunny,Evening,Summer,Sightseeing,Excitement,1221350
Blue domes and white buildings of Santorini against a bright sky.,Greece,Sunny,Afternoon,Summer,Relaxing,Happiness,1221350
The faces of Mount Rushmore carved into the granite cliffside.,USA,Sunny,Afternoon,Summer,Sightseeing,Nostalgia,1221350
Traditional Japanese street with women in kimonos near Yasaka Pagoda.,Japan,Sunny,Evening,Spring,Sightseeing,Romance,1221350
