Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
FC Barcelona Stadium (Camp Nou),Spain,Sunny,Morning,Summer,,Happiness,1220216
Louvre Musuem,France,Cloudy,Evening,Not Clear,Sightseeing,Curiosity,1220216
Bunkers Del Carmel,Spain,Not Clear,Evening,Summer,Sightseeing,Adventure,1220216
Casa Batllo,Spain,Cloudy,Afternoon,Spring,Sightseeing,Nostalgia,1220216
Cathedral of Barcelona,Spain,Cloudy,Afternoon,Spring,Sightseeing,Happiness,1220216
Sagrada Familia,Spain,Snowy,Afternoon,Winter,Sightseeing,Curiosity,1220216
Grand Canal,Italy,Sunny,Morning,Summer,Sailing,Adventure,1220216
Pyramids,Egypt,Sunny,Morning,Summer,Relaxing,Curiosity,1220216
Lake Como,Italy,Sunny,Morning,Summer,Sightseeing,Romance,1220216
Galata Tower,Turkey,Sunny,Evening,Summer,Sightseeing,Romance,1220216
