Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
FC Barcelona’s Camp Nou during an El Clásico match full crowd choreography and electric football atmosphere.,Spain,Not Clear,Evening,Spring,Watching a football match,Excitement,1221036
A stunning aerial view of Barcelona with the Sagrada Família standing at the center surrounded by the city's perfectly organized grid layout.,Spain,Sunny,Evening,Summer,Sightseeing,Curiosity,1221036
"A stunning view of the Dome of the Rock with its golden dome and detailed blue mosaics, representing deep historical and cultural significance.",Palestine,Cloudy,Afternoon,Not Clear,Praying,Happiness,1221036
"A view of the Holy Kaaba surrounded by worshippers performing prayer and pilgrimage in Masjid al-Haram, a deeply spiritual and peaceful sacred place.",Saudi Arabia,Not Clear,Afternoon,Fall,Praying,Happiness,1221036
"A panoramic view of Dubai with the Museum of the Future and Emirates Towers, showing the city's modern skyline and vibrant urban atmosphere.",United Arab Emirates,Cloudy,Afternoon,Winter,Sightseeing,Curiosity,1221036
"A stunning view of the Bahá'í Gardens in Haifa featuring perfectly terraced gardens, vibrant greenery and the golden-domed Shrine of the Báb at the top.",Palestine,Sunny,Afternoon,Summer,Sightseeing,Curiosity,1221036
Luxury overwater villa with a private pool surrounded by clear turquoise water and palm trees offering a peaceful and relaxing tropical experience.,Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness,1221036
An iconic view of the Great Wall of China stretching across green mountains showing its ancient stone pathways and watchtowers.,China,Cloudy,Morning,Spring,Walking,Curiosity,1221036
"A classic view of Big Ben and the Houses of Parliament with iconic red telephone booths and double-deckers passing by, capturing the lively charm of central London.",United Kingdom,Cloudy,Evening,Not Clear,Sightseeing,Curiosity,1221036
"A romantic night view of the Eiffel Tower glowing with golden lights, overlooking the city of Paris.                                                                 ",France,Not Clear,Evening,Not Clear,Sightseeing,Romance,1221036
