Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
A stunning lakeside town surrounded by snow-dusted mountains under a vibrant pink and blue sunset sky.,New Zealand,Partly Cloudy,Evening,Winter,Sightseeing,Tranquility,1221574
A golden sandy beach with turquoise waters and lush green hills under bright sunny skies.,USA,Sunny,Afternoon,Summer,Swimming,Happiness,1221574
White-washed cliffside homes with blue domes overlooking the deep blue Aegean Sea on a clear day.,Greece,Sunny,Afternoon,Summer,Sightseeing,Romance,1221574
Northern lights glowing above a peaceful harbor and modern buildings reflected in still water.,Iceland,Clear Night Sky,Night,Winter,Aurora Watching,Wonder,1221574
A bright skyline featuring Tokyo Tower surrounded by dense clusters of modern buildings.,Japan,Clear,Afternoon,Spring,Urban Exploration,Excitement,1221574
"A coastal cityscape with beaches, modern buildings, and lively crowds enjoying sunlight.",Spain,Sunny,Afternoon,Summer,Beachgoing,Joy,1221574
Historic canal houses reflecting warm sunset colors across calm water.,Netherlands,Cloudy Sunset,Evening,Fall,Canal Touring,Nostalgia,1221574
A dramatic skyline featuring Marina Bay Sands under a colorful sunset sky.,Singapore,Partly Cloudy,Sunset,Summer,Sightseeing,Awe,1221574
Aerial view of Manhattan with Central Park at the center of towering skyscrapers.,USA,Clear,Afternoon,Summer,Sightseeing,Energy,1221574
A futuristic nighttime skyline glowing with gold and white lights across tall skyscrapers.,China,Clear Night,Night,Fall,City Exploration,Excitement,1221574
