Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
White-washed buildings with blue domes overlooking the Aegean Sea in Santorini. I chose it for its unique architecture and stunning coastal views.,Greece,Sunny,Morning,Summer,None,Happiness,1221054
Surfers preparing to enter the waves on a sandy beach in Bali during sunset. I chose it for its relaxed atmosphere and popular surf culture.,Indonesia,Cloudy,Evening,Summer,Surfing,Adventure,1221054
"The Colosseum in Rome illuminated at dusk, showcasing its ancient architecture and historical significance. I chose it for its cultural heritage and iconic structure.",Italy,Cloudy,Evening,Fall,None,Curiosity,1221054
"Boats traveling along the Grand Canal in Venice, surrounded by historic colorful buildings. I chose it for its unique waterways and romantic atmosphere.",Italy,Cloudy,Afternoon,Spring,Boating,Romance,1221054
"A picturesque lakeside village in Hallstatt, surrounded by mountains and autumn-colored trees. I chose it for its calm atmosphere and scenic natural beauty.",Austria,Cloudy,Afternoon,Fall,None,Nostalgia,1221054
The Bow Bridge in Central Park surrounded by colorful autumn foliage. I chose it for its peaceful atmosphere and beautiful seasonal colors.,USA,Sunny,Afternoon,Fall,None,Happiness,1221054
Colorful cliffside houses in Cinque Terre overlooking the Mediterranean Sea. I chose it for its vibrant architecture and stunning coastal views.,Italy,Sunny,Afternoon,Summer,Photography,Excitement,1221054
A couple walking under blooming cherry blossom trees in Japan. I chose it for its peaceful atmosphere and iconic spring scenery.,Japan,Sunny,Afternoon,Spring,Walking,Calm,1221054
A snowy night view of Zermatt village with the Matterhorn mountain in the background. I chose it for its dramatic alpine scenery and winter charm.,Switzerland,Snowy,Evening,Winter,None,Adventure,1221054
Group of skiers hiking through snowy mountains in the Swiss Alps. I chose it for its adventurous winter landscape and dramatic alpine scenery.,Switzerland,Sunny,Morning,Winter,Skiing,Adventure,1221054
