Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://images.pexels.com/photos/18991581/pexels-photo-18991581.jpeg,The Pyramids of Giza. A wide panoramic view of the Great Pyramid in the quiet desert. This place is one of the most important ancient monuments in the world.,Egypt,Sunny,Afternoon,Summer,Sightseeing,Curiosity
https://images.pexels.com/photos/5101755/pexels-photo-5101755.jpeg,Eiffel Tower. A tall iron tower that is the most famous symbol of Paris,France,Cloudy,Afternoon,Spring,Sightseeing,Romance
https://images.pexels.com/photos/18251518/pexels-photo-18251518.jpeg,Statue of Liberty. A historic symbol of freedom and hope. The statue stands proudly on Liberty Island and welcomes visitors to New York.,USA,Sunny,Afternoon,Not Clear,Sightseeing,Excitement
https://images.pexels.com/photos/2412603/pexels-photo-2412603.jpeg,Great Wall of China. A long ancient wall that stretches across mountains and forests. It shows the strength and history of Chinese civilization.,China,Cloudy,Afternoon,Fall,Hiking,Adventure
https://images.pexels.com/photos/1534411/pexels-photo-1534411.jpeg,"Burj Khalifa. The tallest building in the world, offering a modern view of the city of Dubai. It represents innovation and architectural progress.",UAE,Sunny,Afternoon,Summer,Sightseeing,Excitement
https://images.pexels.com/photos/3641667/pexels-photo-3641667.jpeg,Twin Towers. Two identical skyscrapers connected by a sky bridge. They are famous landmarks and symbols of Malaysia’s modern development.,Malaysia,Cloudy,Afternoon,Not Clear,Sightseeing,Curiosity
https://images.pexels.com/photos/11022290/pexels-photo-11022290.jpeg,"Alps Mountains. Snow-covered peaks of the Alps, offering breathtaking panoramic views and a perfect winter wonderland. Ideal for adventure and nature lovers.",Switzerland,Snowy,Afternoon,Winter,Hiking,Adventure
https://images.pexels.com/photos/4118275/pexels-photo-4118275.jpeg,Maldives Islands. A peaceful beach with clear blue water. It is a perfect place to relax and enjoy the beauty of nature.,Maldives,Sunny,Morning,Summer,Relaxing,Happiness
https://images.pexels.com/photos/16732778/pexels-photo-16732778.jpeg,Dome of the Rock. A beautiful golden-domed Islamic landmark. It is a culturally and spiritually important site with unique architecture.,Palestine,Rainy,Afternoon,Winter,Religious Worship,Happiness
https://images.pexels.com/photos/33600872/pexels-photo-33600872.jpeg,Kaaba. A sacred site for Muslims located in the center of the Grand Mosque. Millions of people visit it every year for worship.,Saudi Arabia,Not Clear,Evening,Summer,Religious Worship,Happiness
