Description,Country,Weather,Time of Day,Season ,Activity,Mood ,student_id
"A bright resort view showing a beachfront hotel by the sea — I chose it because the clear water, sunlit sky, and seaside setting evoke relaxation and holiday vibes.",Egypt,Sunny,Afternoon ,Summer,Vacation,Happiness,1220203
A peaceful scene showing a modern glass structure beside an elegant historic building; I chose it because the mix of architecture feels inspiring and calming.,France,Sunny,Morning,Spring,Sightseeing,Curiosty ,1220203
"A magnificent view of a grand white mausoleum beside tranquil water, chosen because its beauty and symmetry feel peaceful and timeless.",India,Sunny,Afternoon ,Not clear,Sightseeing,Wonder ,1220203
"A majestic view of a long historic wall stretching across forested hills, chosen because the vast landscape and ancient construction evoke a feeling of adventure and discovery.",China ,Cloudy,Morning,Fall,Sightseeing/ Hiking,Adventure,1220203
"A peaceful pathway surrounded by trees with golden autumn leaves, chosen because the warm colors and quiet atmosphere feel cozy and refreshing.",Korea,Sunny,Morning,Autumn ,Nature Walk,Calm,1220203
A wide forest valley with autumn-colored trees and soft light filtering through — I chose it because the warm tones and natural landscape feel cozy and full of calm beauty.,Korea,Cloudy,Afternoon ,Autumn ,Relaxing/Nature walk,Peacefulness,1220203
"A striking view of an iconic suspension bridge over water, chosen because the structure’s bold lines and open sky evoke a sense of wonder and freedom.",United States,Sunny,Afternoon ,Not clear,Sightseeing,Excitement,1220203
"A charming waterfront canal lined with colorful historic houses and boats — I chose it because the bright facades, water reflections, and cozy atmosphere make it feel like a postcard-perfect memory of travel and calm city life.",Denmark,Cloudy,Afternoon ,Autumn ,Walking in the canal,Happiness,1220203
A striking view of a modern cathedral with dramatic architecture — I chose it because its bold design and calm surroundings evoke a sense of wonder and real-world scale.,Brazil,Sunny,Afternoon ,Not clear,Sightseeing,Awe,1220203
"An ornate, brightly colored Chinese temple with traditional architecture and red lanterns — I chose it because the vibrant design, cultural heritage, and peaceful surroundings evoke curiosity and respect for multicultural history.",Malaysia,Sunny,Afternoon ,Not clear,Cultural visit,Curiosty ,1220203
