Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"A traditional street in Kyoto with wooden houses,I chose this place because it shows the calm and historical beauty of Japan.",Japan,Sunny,Evening,Fall,Sightseeing,Nostalgia,1220116
"A scenic view of Osaka Castle surrounded by greenery and a bridge,chose it because of the stunning architecture.",Japan,Sunny,Morning,Spring,Sightseeing,Nostalgia,1220116
People climbing Mount Everest; chose it because I enjoy the thrill of adventure and hiking.,Nepal,Sunny,Morning,Winter,Hiking,Adventure,1220116
"Northern Lights in iceland. The vibrant green aurora stretches across the night sky,chose it for the stunning view.",Iceland,Not Clear,Evening,Winter,None,Happiness,1220116
"The Alps mountain range in germany is one of the most beautiful sights to see, chosen for its stunning views and calming natural atmosphere.",Germany,Sunny,Afternoon,Spring,None,Happiness,1220116
"Nara Park, known for its beautiful scenery and the friendly deer you can feed, was chosen for its uniqueness and view.",Japan,Cloudy,Afternoon,Fall,Relaxing,Curiosity,1220116
"Skiing in the snow-covered mountains is one of the most fun activities to do, chosen because it’s exciting and refreshing.",Sweden,Sunny,Morning,Winter,Skiing,Adventure,1220116
"Scuba diving in Australia is an amazing experience, chosen for its clear waters, beautiful marine life, and the sense of peace it brings underwater.",Australia,Sunny,Morning,Summer,Scuba Diving,Adventure,1220116
"Skydiving over Brazil offers breathtaking views of its landscapes from beaches to forests while giving a rush of adrenaline. I chose this activity because it is thrilling, fun, and incredibly freeing.",Brazil,Sunny,Evening,Not Clear,SkyDiving,Adventure,1220116
"Jet skiing in the Maldives is an exciting and refreshing activity, chosen for its beautiful blue waters and thrilling experience.",Maldives,Sunny,Morning,Summer,Jet skiing,Adventure,1220116
