Description,Country,Weather,TimeOfDay,Season,Activity,Mood,student_id
"Evening view of the Louvre Museum pyramid glowing under deep blue skies, showing the artistic and historic charm of Paris.",France,Cloudy,Evening,Not Clear,Sightseeing,Curiosity,1221636
Two women wearing traditional purple and pink kimonos walking on a historic street in Kyoto — capturing traditional Japanese culture and the peaceful charm of old-town Japan.,Japan,Not Clear,Afternoon,Fall,Walking,Curiosity ,1221636
"A rainy night at the Kaaba with worshippers praying on the wet marble floor, illuminated by the mosque lights, creating a peaceful and spiritual atmosphere.",Saudi Arabia,Not Clear,Evening,Winter,Praying,Nostalgia,1221636
"A bright daytime waterfall surrounded by green forest in Jeju Island, showing the island’s peaceful nature and famous lush scenery.",South Korea,Sunny,Morning,Spring,Sightseeing,Adventure,1221636
"A scenic view of the Rialto Bridge over the Grand Canal in Venice, showcasing the classic canal-city architecture and charm of Venice’s waterways under soft evening light.",Italy,Sunny,Afternoon,Spring,Walking around the city,Romance ,1221636
"A peaceful alpine village surrounded by green hills, autumn trees, and snowy mountain peaks, showing the natural beauty of the Swiss countryside.",Switzerland,Snowy,Afternoon,Fall,Sightseeing,Happiness,1221636
"An aerial view of the Colosseum surrounded by green parks and historic Roman buildings, showing the rich history and architectural beauty of Rome.",Italy,Sunny,Afternoon,Spring,Sightseeing,Excitement,1221636
"A stunning aerial view of a New Zealand coastline with turquoise water, white sand, and green rolling hills, showing the country’s natural beauty and peaceful landscapes.",New Zealand,Sunny,Afternoon,Summer,Relaxing,Happiness,1221636
"A nighttime view of the Northern Lights glowing over snowy rocks and the icy coastline of Iceland, creating a magical and dramatic winter landscape.",Iceland,Snowy,Evening,Winter,Sightseeing,Curiosity,1221636
"A calm turquoise lake surrounded by tall pine trees and snow-tipped mountains, with people canoeing peacefully across the water — showcasing Canada’s breathtaking natural scenery.",Canada,Sunny,Afternoon,Summer,Canoeing,Adventure,1221636
