Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
A sacred city for Muslims with great historical and cultural importance. I want to visit it to experience its spiritual atmosphere and rich history.,Palestine,Sunny,Afternoon,Summer,Praying / Worshiping,Nostalgia,1220848
A scenic city on the Black Sea coast with green hills and historic landmarks. I want to visit it to enjoy its natural beauty and explore its culture.,Turkey,Cloudy,Afternoon,Spring,Sightseeing,Adventure,1220848
"Disneyland is a magical theme park full of fun and excitement. I want to visit it to experience the rides, shows, and joyful atmosphere.",France,Not Clear,Evening,Not Clear,Entertainment,Excitement,1220848
"Rovaniemi is a magical Arctic?Circle city in Finnish Lapland, full of snowy landscapes, Northern Lights, and winter wonderland charm. I want to visit it to enjoy its unique Arctic nature, experience the snow and the lights, and live a dream of a fairy?tale winter.",Finland,Snowy,Evening,Winter,Skiing / Winter Activities,Happiness,1220848
Burj?Khalifa — the tallest building in the world — a symbol of modern engineering and dream architecture. I want to visit it to see the skyline from above and admire its grandeur,United Arab Emirates,Not Clear,Evening,Summer,City exploration,Curiosity,1220848
"Tokyo is a vibrant city mixing modern skyscrapers, neon lights and traditional culture; I want to visit to experience its energy, high?tech atmosphere and cultural diversity.",Japan,Sunny,Afternoon,Spring,Boat Riding,Happiness,1220848
"The Maldives — a tropical paradise of crystal?clear waters and white sandy beaches, perfect for relaxation and island?life escape. I want to visit it to enjoy its serene nature, warm seas, and peaceful island ambiance.",Maldives,Sunny,Morning,Summer,Relaxing / Swimming / Beach Vacation,Romance,1220848
"Venice is a magical city built on water, with charming canals and gondola rides; I want to visit it to ride a gondola, enjoy the canals and feel the unique romantic atmosphere.",Italy,Sunny,Afternoon,Summer,Boat Riding / Sightseeing,Curiosity,1220848
Twin Lagoon in Coron is a hidden tropical paradise with crystal?clear turquoise water surrounded by dramatic limestone cliffs — I want to visit to swim between two connected lagoons and enjoy its natural beauty.,Philippines,Sunny,Afternoon,Spring,Boat Riding / Swimming / Sightseeing,Happiness,1220848
"Machu?Picchu — an ancient Inca mountain city perched high in the Andes; I want to hike there to explore the ruins, enjoy breathtaking mountain views and experience ancient history.",Peru,Cloudy,Afternoon,Spring,Hiking / Exploring Ruins,Adventure,1220848
