Description,Country,Weather,Time of Day,Season,Activity,Mood,student_id
Iceland Northern Lights — my favorite place since I was a kid and saw it in many movies.,Iceland,Snowy,Evening,Winter,Sightseeing,Happiness,1220869
Edinburgh Castle — I chose this place because it has the mood of dark fantasy.,Scotland,Cloudy,Afternoon,Not Clear,Sightseeing,Adventure,1220869
Salar de Uyuni — famous for its mirror-like reflection photos in the rainy season.,Bolivia,Cloudy,Morning,Spring,Sightseeing,Happiness,1220869
Louvre Museum — a famous museum in France that has many famous art objects.,France,Not Clear,Evening,Fall,Sightseeing,Curiosity,1220869
Kyoto — famous for cherry blossoms and beautiful shrines.,Japan,Sunny,Morning,Spring,Sightseeing,Romance,1220869
Floating Torii Saga Shrine — a beautiful place for relaxing and sightseeing.,Japan,Sunny,Morning,Not Clear,Sightseeing,Happiness,1220869
Cappadocia Balloon Festival — beautiful hot air balloons in Turkey.,Turkey,Sunny,Afternoon,Not Clear,Sightseeing,Excitement,1220869
Sea of Stars — the perfect beach with glowing blue bioluminescent waves.,Maldives,Not Clear,Evening,Not Clear,Sightseeing,Happiness,1220869
Great Wall of China — a place I always wanted to walk through.,China,Cloudy,Morning,Spring,Hiking,Adventure,1220869
Tunnel of Love — a beautiful nature-filled train path.,Ukraine,Sunny,Morning,Spring,Relaxing,Happiness,1220869
