Description,Country,Weather,Time of Day,Season,Activity,Mood,student_id
The image shows the massive Niagara Falls with powerful flowing water. I chose this place because I want to see its breathtaking natural beauty in real life.,Canada,Sunny,Afternoon,Summer,Sightseeing,Excitement,1220438
The image shows Barcelona’s colorful cityscape and unique architecture. I chose this place because I love its artistic style and vibrant atmosphere.,Spain,Sunny,Evening,Summer,Sightseeing,Happiness,1220438
The image shows Doha’s modern skyline with bright city lights. I chose this place because I’m interested in its rapid development and Gulf culture.,Qatar,Sunny,Evening,Summer,City exploration,Curiosity,1220438
The image shows Tokyo’s busy streets and glowing buildings at night. I chose this place because I want to experience its mix of tradition and advanced technology.,Japan,Not Clear,Evening,Spring,Urban exploring,Excitement,1220438
The image shows Rio’s beaches and mountains under sunny weather. I chose this place because it looks exciting and full of natural beauty.,Brazil,Sunny,Afternoon,Summer,Sightseeing,Adventure,1220438
The image shows the historic Colosseum in Rome. I chose this place because I want to explore its ancient history and famous landmarks.,Italy,Sunny,Morning,Spring,History tour,Curiosity,1220438
The image shows Dubai’s tall skyscrapers and futuristic skyline. I chose this place because its modern design and desert views really inspire me.,United Arab Emirates,Sunny,Evening,Summer,Sightseeing,Excitement,1220438
The image shows New York’s skyline at dusk with bright city lights. I chose this place because I want to feel the energy of this iconic city.,USA,Sunny,Evening,Fall,Urban life,Adventure,1220438
"The image shows the Eiffel Tower on a clear day. I chose this place because Paris is known for its beauty, romance, and cultural charm.",France,Sunny,Afternoon,Spring,Relaxing,Romance,1220438
The image shows Berlin’s historic buildings and wide parks. I chose this place because I’m interested in its history and modern culture.,Germany,Cloudy,Morning,Summer,City tour,Curiosity,1220438
