Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"A view of Moscow City’s skyscrapers during winter, showing modern towers surrounded by snow and cold atmosphere.",Russia,Snowy,Evening,Winter,Sightseeing,Curiosity,1220808
"A classic Amsterdam canal view with bicycles and historic buildings, chosen for its peaceful European charm.",Netherlands,Cloudy,Afternoon,Spring,Sightseeing,Nostalgia,1220808
"A beautiful view of Barcelona’s coastline with the city and beach atmosphere, chosen for its lively Mediterranean vibe.",Spain,Sunny,Afternoon,Summer,Relaxing,Happiness,1220808
"A scenic view of Istanbul with historic architecture and the Bosphorus, chosen for its rich cultural atmosphere.",Turkey,Sunny,Evening,Summer,Sightseeing,Curiosity,1220808
"A vibrant cityscape of Seoul with tall modern buildings and colorful lights, chosen for its energetic urban atmosphere.",South Korea,Clear,Evening,Fall,Sightseeing,Excitement,1220808
"A stunning view of Norway’s mountains and icy waters, chosen for its peaceful and dramatic natural beauty.",Norway,Snowy,Morning,Winter,Hiking,Adventure,1220808
"The famous Fushimi Inari Shrine with its iconic red torii gates, chosen for its cultural and spiritual significance.",Japan,Sunny,Morning,Spring,Sightseeing,Curiosity,1220808
"A dramatic mountainous landscape in Dagestan with steep cliffs and greenery, chosen for its breathtaking natural scenery.",Russia,Cloudy,Afternoon,Summer,Hiking,Adventure,1220808
"A vast icy landscape of Greenland with glaciers and snow, chosen for its serene and remote arctic beauty.",Greenland,Snowy,Morning,Winter,Hiking,Melancholy,1220808
"A rugged mountainous landscape in Afghanistan, chosen for its dramatic terrain and natural beauty.",Afghanistan,Sunny,Afternoon,Summer,Hiking,Adventure,1220808
