Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
A lively city with endless activities and famous foods. I chose it for sightseeing and trying the bagels.,USA,snowy,Afternoon,summer,,Curiosity,1221998
A country with charming towns and peaceful scenery. I chose it to relax and enjoy the atmosphere.,Italy,sunny,Afternoon,summer,,Romance,1221998
A historic religious city filled with sacred sites. I chose it for its spiritual meaning and sightseeing.,Palestine,snowy,Morning,winter,,Calm,1221998
A peaceful blue-colored city in the mountains. I chose it for relaxing and calm sightseeing.,Morocco,,Afternoon,not clear,,Romance,1221998
"A land of waterfalls, mountains, and unique nature. I chose it for breathtaking sightseeing.",Iceland,not clear,Evening,winter,,Excitement,1221998
A modern city with skyscrapers and desert roads. I chose it to try drifting and exciting driving experiences.,UAE,sunny,Afternoon,summer,,Adventure,1221998
A tropical country with amazing beaches. I chose it to swim and enjoy the summer vibes.,Brazil,sunny,Afternoon,summer,,Adventure,1221998
A beach city with clear waters and resorts. I chose it for sightseeing and beautiful coastal views.,Egypt,not clear,Afternoon,not clear,,Excitement,1221998
Ancient pyramids and desert landscapes. I chose it for sightseeing and exploring history.,Egypt,sunny,Morning,summer,,Curiosity,1221998
"A green, mountainous city by the sea. I chose it for peaceful nature sightseeing.",Turkey,not clear,Morning,not clear,,Happiness,1221998
