Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
White-sand tropical beach bordered by rainforest and the Great Barrier Reef.,Australia,Sunny,evening,Summer,Relaxing,Happiness,1220829
Dramatic canyon view with a winding river and glowing cliffs.,United States,Sunny,Morning,Summer,Sightseeing,Adventure,1220829
Classic Roman rooftops and domes.,Italy,Sunny,Afternoon,Summer,Sightseeing,Curiosity,1220829
Sunrise view of the Golden Gate Bridge.,United States,Sunny,evening,Spring,Sightseeing,Nostalgia,1220829
Ha Long Bay cliffs and calm water during sunset.,Vietnam,Sunny,Morning,Fall,Boat Tour,Romance,1220829
Green alpine fields and Dolomites mountains.,Italy,Sunny,Morning,Summer,Hiking,Happiness,1220829
Golden sunset over Ha Long Bay cliffs.,Vietnam,Sunny,Evening,Summer,Sightseeing,Melancholy,1220829
Overwater villas and crystal-clear lagoon.,Maldives,Sunny,Morning,Summer,Swimming,Happiness,1220829
Aerial view of Masjid al-Haram and Kaaba.,Saudi Arabia,windy,Evening,Not Clear,Religious Worship,Nostalgia,1220829
Dome of the Rock under clear blue sky.,Palestine,Sunny,Morning,Not Clear,Sightseeing,Curiosity,1220829
