Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
A stunning evening view of the Eiffel Tower beautifully lit up beside the Seine River. I chose this place because it's one of the most iconic landmarks in the world and a dream destination for its romantic atmosphere.,France,Clear,Evening,Fall,Sightseeing,Romance,1220481
A dramatic view of Big Ben and the Palace of Westminster on a rainy day in London. I chose this place because it represents one of the most iconic historical and cultural landmarks in the UK.,United Kingdom,Rainy,Afternoon,Winter,Sightseeing,Curiosity,1220481
A bright and colorful view of Santorini with its iconic white buildings and blue domes overlooking the Aegean Sea. I chose this place because of its breathtaking scenery and peaceful Mediterranean atmosphere.,Greece,Sunny,Afternoon,Spring,Relaxing,Happiness,1220481
A breathtaking view of the Swiss Alps with a turquoise lake and a hiker standing on a narrow mountain ridge. I chose this place because Switzerland offers some of the most stunning natural landscapes perfect for hiking and adventure.,Switzerland,Sunny,Morning,Summer,Hiking,Adventure,1220481
A magical evening view of Istanbul with illuminated boats on the Bosphorus and the historic mosque rising in the background.,Turkey,Cloudy,Evening,Winter,Sightseeing,Curiosity,1220481
"A tropical paradise view featuring overwater bungalows, turquoise waters, and lush green mountains. I chose this place because the Maldives is known for its peaceful beaches and luxurious island resorts.",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness,1220481
"A stunning view of the Pyramids of Giza during golden hour, with a camel rider crossing the desert. I chose this place because it’s one of the most iconic historical wonders in the world and represents ancient Egyptian civilization.",Egypt,Sunny,Evening,Summer,Camel Riding,Nostalgia,1220481
"A stunning view of Burj Khalifa during sunset, with the Dubai Fountain glowing beautifully below and the city lights surrounding it. I chose this place because Dubai represents modern architecture, luxury, and vibrant city life..",United Arab Emirates,Clear,Evening,Winter,Sightseeing,Excitement,1220481
"A magical winter view of Saint Basil’s Cathedral in Moscow, covered in falling snow at night. I chose this place because of its unique colorful architecture and the beautiful winter atmosphere.",Russia,Snowy,Evening,Winter,Sightseeing,Romance,1220481
A peaceful view of the Dome of the Rock in Jerusalem with flocks of pigeons surrounding the courtyard. I chose this place because it holds deep spiritual and historical significance and offers a serene atmosphere.,Palestine,Clear,Morning,Not Clear,Sightseeing,Nostalgia,1220481
