Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
Beautiful pagoda with cherry blossoms and Mount Fuji in the background,Japan,Sunny,Evening,Spring,Sightseeing,Serenity,1222332
Beautiful sunset over Oia’s white buildings and sea. I chose it for its romantic and scenic view.,Greece,Sunny,Evening,Summer,Relaxing,Romance,1222332
A sweeping view of the Great Wall winding over hills and mountains — I chose it because it captures the grandeur and history of this iconic landmark.,China,Cloudy,Afternoon,Fall,Sightseeing,Adventure,1222332
A scenic view of a hotel resort with an inviting pool (or coastal?resort vibe) and tranquil surroundings — nice for a relaxing vacation.,Canada,Sunny,Afternoon,Summer,Relaxing,Calm,1222332
"Main entrance door of Al?Aqsa Mosque, showing historic Islamic architecture.",Palestine,Cloudy,Afternoon,Fall,Visiting,Reverence,1222332
Scenic view of Machu Picchu ruins nestled among Andes mountains.,Peru,Cloudy,Afternoon,Fall,Sightseeing,Awe,1222332
Spectacular view of Victoria Falls with its gorge and the steel?arch bridge over the Zambezi River — a dramatic mix of powerful waterfall .,Zimbabwe,Sunny,Afternoon,Not Clear,Sightseeing,Awe,1222332
A view of the stone-carved facade of the ancient monastery in Petra — I chose it because it shows remarkable ancient architecture and history.,Jordan,Sunny,Afternoon,Summer,Sightseeing,Curiosity,1222332
A tropical coral?cay island with turquoise reef lagoon and clear blue waters.,Australia,Sunny,Afternoon,Summer,Snorkelling,Peace,1222332
A view of iconic Egyptian monuments (likely pyramids and desert scenery) symbolizing Egypt’s ancient heritage.,Egypt,Sunny,Afternoon,Summer,Sightseeing,Wonder,1222332
