Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"A clear and bright picture of the Dome of the Rock that we long for, surrounded by historic buildings and ancient stone walls.",Palestine,Sunny,Morning,Summer,Sightseeing,Nostalgia,1220857
"A beautiful sunset view of the Great Pyramids of Giza, with warm golden sky colors shining over the desert.",Egypt,Sunny,Morning,Summer,Sightseeing,Adventure,1220857
"A powerful waterfall with bright blue water crashing down, surrounded by clouds and mist.",Canada,Cloudy,Afternoon,Summer,Relaxing,Excitement,1220857
"A night view of Shanghai’s skyline with colorful lights, featuring the bright pink Oriental Pearl Tower beside modern skyscrapers.",China,Not Clear,Evening,Not Clear,Sightseeing,Curiosity,1220857
A bright daytime photo of the Leaning Tower of Pisa with people walking around the green lawn under a partly cloudy sky.,Italy,Cloudy,Afternoon,Spring,Sightseeing,Happiness,1220857
"A sunny photo of the ancient Petra building carved into the rock, with people walking in front of it under a deep blue sky.",Jordan,Sunny,Afternoon,Summer,Sightseeing,Adventure,1220857
A large crowd of worshippers gathered around the Kaaba during prayer inside the Grand Mosque.,Saudi Arabia,Not Clear,Evening,Not Clear,Praying,Nostalgia,1220857
"A snowy winter scene of the Eiffel Tower with people walking toward it, surrounded by bare trees and a white walkway.",France,Snowy,Afternoon,Winter,Sightseeing,Romance,1220857
"An aerial view of Barcelona with the Sagrada Família in the center, surrounded by long straight streets and warm sunset light.",Spain,Sunny,Evening,Fall,Sightseeing,Curiosity,1220857
"A charming street view leading to the historic Galata Tower, with old buildings, warm sunlight, and a cobblestone road.",Turkey,sunny,Afternoon,Fall,Walking,Adventure,1220857
