Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
Top view of Tokyo city showing modern and beautiful buildings with Fuji mountain.,Japan,Not Clear,Evening,Not Clear,Sightseeing,Excitement,1220251
View of a temple in top of Kyoto city with beautiful trees.,Japan,Sunny,Morning,Fall,Sightseeing,Nostalgia,1220251
Modern and beautiful buildings on a small island in Shanghai city.,China,Cloudy,Evening,Not clear,Sightseeing,Excitement,1220251
The green nature of Lucerne city and the traditional buildings.,Switzerland,Sunny,Afternoon,Spring,Sightseeing,Nostalgia,1220251
Penguins climbing snowy mountain in Antarctica.,Antarctica,Snowy,Afternoon,Winter,Hiking,Adventure,1220251
Beautiful aurora above a snowy mountain in Iceland.,Iceland,Snowy,Evening,Winter,Relaxing,Adventure,1220251
Wide view of New York city showing the central park surrounded by so many buildings.,USA,Sunny,Morning,Summer,Sightseeing,Curiosity,1220251
Beautiful view of the modern and famous buildings of Singapore with lakes and ocean.,Singapore,Sunny,Morning,Summer,Sightseeing,Happiness,1220251
View of the most famous building of Moscow city with snow.,Russia,Snowy,Afternoon,Winter,Sightseeing,Nostalgia,1220251
Beautiful of view of an island in the Maldives with many green trees and fresh blue water of the ocean with many huts.,Maldives,Sunny,Morning,Summer,Relaxing,Adventure,1220251
