Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
The Dome of the Rock with its golden dome on a raised platform. I chose this place because it holds deep spiritual and personal significance.,Palestine,Sunny,Morning,Not Clear,Praying,Melancholy,1220212
"Kaaba, the black cube at the center of Makkah, surrounded by 4 minarets and many worshippers. I chose it for its deep religious importance and spiritual connection to my faith.",Saudi Arabia,Cloudy,Afternoon,Not Clear,Praying,Happiness,1220212
Snow-capped mountains and a calm lake. I chose it because I love nature and enjoy adventurous landscapes.,Switzerland,Cloudy,Morning,Not Clear,Hiking,Adventure,1220212
Venice’s old buildings and a canal with many boats. I chose it because I love seeing beautiful places that feel peaceful and inspiring.,Italy,Cloudy,Evening,Not Clear,Sightseeing,Excitement,1220212
"Kawarau Gorge Suspension Bridge with its ropes and structure surrounded with yellow trees. I chose it because it’s the most famous bungee jumping spot in the world, and I want to try it myself.",New Zealand,Sunny,Morning,Autumn,Bungee jumping,Adventure,1220212
Aurora Lights over snowy mountains and a rocky beach. I chose it because I love magical natural scenes and adventure.,Norway,Snowy,Evening,Winter,Sightseeing,Excitement,1220212
"View of Santorini, with its white houses on the cliffs and the sea in the distance. I chose it because it gives a peaceful and relaxing feeling.	",Greece,"Sunny	","Morning	","Summer	","Relaxing	",Happiness,1220212
"Blue waters in the Maldives with a snorkeler, showing the clear water and the sea floor with coral visible beneath. I chose it because I want to explore the underwater world there.",Maldives ,Sunny,Morning,"Summer	",Snorkeling ,Curiosity,1220212
The historic Communication Palace with the Cibeles Fountain in front of it. I chose it because I want to explore the old architecture and the stunning surroundings.,Spain,Cloudy,Afternoon,Not Clear,Sightseeing,Curiosity,1220212
Yasaka Pagoda tower rising above the traditional streets. I chose it because I want to explore the culture.,Japan,Cloudy,Afternoon,Winter,Sightseeing,Curiosity,1220212
