Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"Alhambra Palace, A photo of the Court of the Lions, highlighting the detailed carvings on the marble pillars. I chose this place because its unique craftsmanship and historical atmosphere bring back nostalgic memories from my visit.",Spain,Sunny,Afternoon,Spring,Sightseeing,Nostalgia,1220847
"Pyramids of Giza, A wide desert view showing the ancient pyramids rising above the sand. I chose this place because its history and massive presence always inspire curiosity.",Egypt,Sunny,Morning,Not Clear,Sightseeing,Curiosity,1220847
"Lake Como, A peaceful lakeside view with colorful flowers and classic buildings along the water. I chose this place because its calm atmosphere and natural beauty makes it a perfect getaway",Italy,Sunny,Afternoon,Spring,Relaxing,Happiness,1220847
"Jungfraujoch (Swiss Alps), A breathtaking view of snow-covered mountains under soft morning light. I chose this place because its majestic alpine scenery makes it a fascinating place to experience.",Switzerland,Snowy,Morning,Winter,Sightseeing,Adventure,1220847
"Colosseum, An early-morning view of the Roman Colosseum with some clouds in the sky, highlighting its ancient architecture. I chose this place because its deep history and timeless design is fascinating.",Italy,Cloudy,Morning,Not Clear,Sightseeing,Curiosity,1220847
"Mecca, A view of the Kaaba at night. I chose this place because it is the holiest site in Islam.",Saudi Arabia,Not Clear,Evening,Not Clear,Pilgrimage,Happiness,1220847
"Antarctica, A wide icy landscape showing snow and glacier terrain. I chose this place because of its unique frozen beauty and the challenge of exploring one of the most extreme places on Earth.",Antarctica,Snowy,Afternoon,Not Clear,Hiking,Adventure,1220847
"Petra, A night view of Petra’s rock-carved architecture. I chose this place because of its ancient history and unique beauty.",Jordan,Not Clear,Evening,Not Clear,Sightseeing,Curiosity,1220847
"Maldives, A golden afternoon on a sunny beach with clear water and vacation huts. I chose this place for its relaxing tropical beauty.",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness,1220847
"Great Wall of China, A breathtaking view of the Great Wall of China snaking over mountains. I chose this place because it symbolizes ancient history and architectural marvels.",China,Sunny,Afternoon,Spring,Sightseeing,Adventure,1220847
