Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"A view of Al-Aqsa Mosque in Jerusalem, an important Islamic holy site.",Palestine,Sunny,Morning,Spring,Relaxing,Happiness,1221044
Al-Masjid an-Nabawi in Madinah showing its peaceful courtyard and iconic green dome.,Saudi Arabia,Sunny,Afternoon,Summer,Relaxing,Happiness,1221044
The Holy Kaaba in Mecca surrounded by pilgrims during worship.,Saudi Arabia,Sunny,Evening,Summer,Relaxing,Happiness,1221044
Bosphorus Bridge in Istanbul connecting the European and Asian sides of the city.,Turkey,Sunny,Evening,Spring,Sightseeing,Excitement,1221044
Majestic waterfalls flowing through the Norwegian natural landscape.,Norway,Cloudy,Afternoon,Summer,Hiking,Adventure,1221044
Swiss Alps featuring snowy mountain peaks and green valleys.,Switzerland,Sunny,Morning,Winter,Hiking,Adventure,1221044
Luxury water villas built above turquoise waters in the Maldives.,Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness,1221044
"Calm historic streets in Ait Ben Haddou, a traditional Moroccan kasbah village.",Morocco,Sunny,Afternoon,Summer,Sightseeing,Adventure,1221044
A scenic Mediterranean view in Sidi Bou Said village with white and blue houses.,Tunisia,Sunny,Morning,Summer,Sightseeing,Happiness,1221044
A stunning view of the courtyard of the Umayyad Mosque highlighting its ancient Islamic architecture.,Syria,Cloudy,Afternoon,Spring,Sightseeing,Happiness,1221044
