Description,Country,Weather,TimeOfDay,Season,Activity,Mood,student_id
"A row of overwater bungalows with beautiful flowers at their entrance, connected by a wooden walkway, all above clear turquoise water",Maldives,Sunny,Afternoon,Not Clear,Relaxing,Happiness,1220185
"Lush tea fields on a hillside with trees on the left and center, mountains with trees in the background",Indonesia,Cloudy,Afternoon,Not Clear,Relaxing,Adventure,1220185
Different modern architectural styles of glassy skyscrapers glowing during night with their reflections shimmering on the water below,Qatar,Not Clear,Evening,Not Clear,Sightseeing,Excitement,1220185
Small ice blocks floating on the water in the foreground with a large empty icy land in the background,"Antarctica (continent, not a country)",Sunny,Afternoon,Not Clear,Exploring,Adventure,1220185
"In the foreground, a coastal city of mid-rise buildings along green-touched hills, while distant hills in the background",Albania,Sunny,Afternoon,Not Clear,Relaxing,Adventure,1220185
A beautiful sunset at an empty desert with distant low-rise mountains,Jordan,Sunny,Evening,Not Clear,Exploring,Adventure,1220185
"Sunlight shines through a dense rainforest, lighting up green moss, and a small waterfall in the background",Malaysia,Sunny,Afternoon,Not Clear,Exploring,Adventure,1220185
"White calcium shimmering pools hold turquoise water in the foreground, and a green valley with distant high mountains in the background",Turkiye,Sunny,Afternoon,Not Clear,Sightseeing,Adventure,1220185
"An incredible view of a towering mountain with its snowy peaks dominating the scene, and lush green slopes below, all are reflected in the mirror-like water",Pakistan,Cloudy,Afternoon,Not Clear,Relaxing,Happiness,1220185
"And what could be more beautiful than going to the Kaaba, when you see thousands of worshippers around it, striving to attain the highest ranks?",Saudi Arabia,Not Clear,Morning,Not Clear,Worshipping,Happiness,1220185
