Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"Lush green terraced rice paddies, characteristic of Bali's agricultural landscape",Indonesia,Sunny,Morning,Summer,Sightseeing,Happiness,1221026
The iconic golden dome and intricate blue tile work of the mosque,Palestine,Sunny,Morning,Summer,Worship,Humility ,1221026
The modern glass pyramid entrance contrasting with the historic palace architecture,France,Cloudy,Afternoon,Spring,Sightseeing,Excitement,1221026
"Gondolas floating on the Grand Canal, surrounded by classic Venetian buildings",Italy,Sunny,Afternoon,Summer,Relaxing,Romance,1221026
Mount Fuji towering over delicate cherry blossom trees in full bloom,Japan,Sunny,Morning,Spring,Sightseeing,Happiness,1221026
The stunning turquoise waters of Moraine Lake backed by the snow-dusted Valley of the Ten Peaks,Canada,Cloudy,Morning,Spring,Hiking,Adventure,1221026
Trekkers making their way across a snowy path toward the high-altitude mountain peaks,Nepal,Sunny,Afternoon,Fall,Hiking,Adventure,1221026
The historic main square filled with people dining and socializing under the arcades,Spain,Cloudy,Afternoon,Summer,Relaxing,Happiness,1221026
"White, cliffside houses with blue domes overlooking the Aegean Sea during sunset",Greece,Sunny,Evening,Summer,Relaxing,Romance,1221026
An aerial view of the city bowl and coastline with the flat top of Table Mountain,South Africa,Sunny,Afternoon,Summer,Sightseeing,Excitement,1221026
