Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"A tropical beach scene in Guam with clear blue water and palm trees, chosen for its relaxing island vibe.",USA,Sunny,Afternoon,Summer,Relaxing,Happiness,1220175
"A snowy alpine village in Zermatt, Switzerland, chosen for its picturesque winter scenery and cozy mountain atmosphere.",Switzerland,Snowy,Morning,Winter,Relaxing,Nostalgia,1220175
"A stunning tropical beach in the Maldives with turquoise water and white sand, chosen for its serene and relaxing atmosphere.",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness,1220175
"A charming view of Marburg’s historic town with old buildings and a river, chosen for its medieval European atmosphere.",Germany,Cloudy,Afternoon,Spring,Sightseeing,Nostalgia,1220175
"A lush tropical rainforest scene in Costa Rica, chosen for its vibrant nature and adventure-filled environment.",Costa Rica,Cloudy,Morning,Summer,Hiking,Adventure,1220175
"A cityscape in North Korea showing urban buildings and streets, chosen for its unique and controlled urban environment.",North Korea,Clear,Afternoon,Summer,Sightseeing,Curiosity,1220175
"A scenic view of Oslo with modern buildings and waterfront, chosen for its calm urban and natural combination.",Norway,Cloudy,Afternoon,Spring,Sightseeing,Curiosity,1220175
"A picturesque view of Stockholm’s waterfront and historic buildings, chosen for its classic Scandinavian charm.",Sweden,Cloudy,Afternoon,Spring,Sightseeing,Nostalgia,1220175
"A dense green rainforest scene from the Amazon Jungle, chosen for its wild, lush vegetation and sense of natural adventure.",Brazil,Cloudy,Afternoon,Spring,Exploring,Adventure,1220175
"A stylized cityscape of Tokyo with bright lights and futuristic vibes, chosen for its energetic urban and modern atmosphere.",Japan,Clear,Evening,Winter,Sightseeing,Excitement,1220175
